Start_Lat,End_Lng,elapsed_time,day_of_week,hour_of_day,time_period,Temperature(C),Humidity(%),Pressure(atm),Visibility(km),Wind_Direction,Wind_Speed(kmph),Weather_Condition,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Severity
38.55174,-90.42885,360.0,0,14,afternoon,8.88888888888889,93.0,0.9985896,1.2874720000000002,E,9.334172,rain,0.0,0.0,0.0,0.0,4
38.70238,-90.45066,360.0,0,18,evening,9.38888888888889,93.0,0.9969186,0.321868,ENE,9.334172,mist,1.0,1.0,1.0,0.0,2
38.55518,-90.4322,360.0,1,6,morning,8.277777777777779,93.0,0.9962502,4.82802,NW,13.035654,rain,1.0,1.0,1.0,0.0,2
38.6345,-90.44905,360.0,1,17,afternoon,1.722222222222223,82.0,1.0039368,12.87472,NNW,27.841582,cloudy,1.0,1.0,0.0,0.0,3
38.5412,-90.43045,360.0,3,7,morning,-7.777777777777778,78.0,1.0069446,8.0467,N,13.035654,snow,0.0,0.0,0.0,0.0,3
38.6385,-90.44447,360.0,3,10,morning,-7.777777777777778,74.0,1.007613,4.82802,N,11.104446,snow,0.0,0.0,0.0,0.0,2
38.6355,-90.40071,360.0,3,10,morning,-7.777777777777778,71.0,1.007613,8.0467,N,13.035654,snow,0.0,0.0,0.0,0.0,2
38.55195,-90.42371,360.0,4,15,afternoon,-10.61111111111111,51.0,1.0166364,16.0934,NW,16.737136,cloudy,0.0,0.0,0.0,0.0,2
38.60996,-90.4474,360.0,6,12,afternoon,-6.111111111111111,50.0,1.027665,16.0934,ESE,18.50741,cloudy,0.0,0.0,0.0,0.0,4
38.6355,-90.40071,360.0,0,18,evening,4.388888888888888,51.0,1.0062761999999998,16.0934,SE,29.611856,cloudy,1.0,1.0,1.0,0.0,2
38.6385,-90.44447,360.0,1,6,morning,12.22222222222222,72.0,0.990903,16.0934,S,25.910374,rain,1.0,1.0,0.0,0.0,3
38.54414000000001,-90.41806,360.0,1,10,morning,14.38888888888889,70.0,0.9885636,16.0934,S,38.946028,cloudy,0.0,0.0,0.0,0.0,2
38.63592,-90.41524,360.0,1,17,afternoon,8.277777777777779,61.0,0.9995922,16.0934,W,20.438618,cloudy,1.0,1.0,0.0,0.0,2
38.60996,-90.45012,360.0,2,18,evening,21.11111111111111,55.0,0.9912372,16.0934,SSW,27.841582,cloudy,1.0,1.0,1.0,1.0,2
38.55195,-90.42371,360.0,2,18,evening,21.11111111111111,55.0,0.9912372,16.0934,SSW,27.841582,cloudy,1.0,1.0,1.0,1.0,2
38.57852000000001,-90.44839,360.0,3,7,morning,2.2222222222222223,86.0,1.0022658,2.41401,NW,20.438618,cloudy,0.0,0.0,0.0,0.0,2
38.67705,-90.44912,360.0,3,8,morning,1.1111111111111112,85.0,1.0052736,2.896812,WNW,25.910374,cloudy,0.0,0.0,0.0,0.0,2
38.69733,-90.4455,360.0,3,8,morning,1.1111111111111112,85.0,1.0052736,2.896812,WNW,25.910374,cloudy,0.0,0.0,0.0,0.0,3
38.70238,-90.45066,360.0,3,18,evening,-1.722222222222223,72.0,1.0189758,14.48406,N,20.438618,cloudy,1.0,1.0,1.0,1.0,2
38.66843,-90.44934,360.0,3,20,evening,-2.2222222222222223,72.0,1.0203126,16.0934,N,14.805927999999998,cloudy,1.0,1.0,1.0,1.0,3
38.653,-90.44825,360.0,4,11,morning,-2.2222222222222223,72.0,1.025994,9.65604,ENE,9.334172,rain,0.0,0.0,0.0,0.0,2
38.6355,-90.40071,360.0,4,15,afternoon,-0.6111111111111119,79.0,1.0223178,6.43736,ENE,11.104446,rain,0.0,0.0,0.0,0.0,2
38.6355,-90.40071,360.0,4,19,evening,0.0,79.0,1.0233204,16.0934,ENE,9.334172,cloudy,1.0,1.0,1.0,1.0,3
38.55518,-90.4322,360.0,0,15,afternoon,11.72222222222222,89.0,1.0036026,1.60934,SSE,24.1401,rain,0.0,0.0,0.0,0.0,3
38.653,-90.44825,360.0,0,17,afternoon,12.77777777777778,89.0,0.9995922,8.0467,SSE,11.104446,cloudy,1.0,0.0,0.0,0.0,3
38.66843,-90.44934,360.0,0,17,afternoon,12.77777777777778,89.0,0.9995922,8.0467,SSE,11.104446,cloudy,1.0,0.0,0.0,0.0,3
38.5412,-90.43045,360.0,1,7,morning,6.722222222222223,76.0,1.0022658,16.0934,WSW,11.104446,cloudy,1.0,0.0,0.0,0.0,2
38.605838,-90.450129,360.0,1,8,morning,7.222222222222222,76.0,1.005942,16.0934,W,24.1401,cloudy,0.0,0.0,0.0,0.0,4
38.6385,-90.44447,360.0,1,11,morning,8.277777777777779,71.0,1.0039368,16.0934,WSW,22.208892,cloudy,0.0,0.0,0.0,0.0,2
38.63809000000001,-90.441912,360.0,1,15,afternoon,6.722222222222223,76.0,1.0056078,16.0934,W,27.841582,cloudy,0.0,0.0,0.0,0.0,3
38.67705,-90.44912,360.0,1,16,afternoon,6.722222222222223,76.0,1.0052736,16.0934,W,29.611856,cloudy,0.0,0.0,0.0,0.0,2
38.57067,-90.44021,360.0,2,18,evening,7.777777777777778,63.0,1.0066104,16.0934,SSE,11.104446,cloudy,1.0,1.0,1.0,0.0,3
38.70238,-90.45066,360.0,3,14,afternoon,8.0,93.0,0.9935766,3.21868,ESE,14.805927999999998,cloudy,0.0,0.0,0.0,0.0,2
38.55518,-90.4322,360.0,3,14,afternoon,8.88888888888889,89.0,0.9939108,3.21868,E,13.035654,cloudy,0.0,0.0,0.0,0.0,2
38.55195,-90.42371,360.0,3,16,afternoon,8.277777777777779,93.0,0.9932424,0.80467,ESE,13.035654,mist,0.0,0.0,0.0,0.0,2
38.63862,-90.456015,360.0,3,20,evening,9.000000000000002,93.0,0.9919056,0.80467,S,11.104446,mist,1.0,1.0,1.0,1.0,2
38.6385,-90.44447,360.0,4,7,morning,10.0,93.0,0.990903,9.65604,S,5.63269,cloudy,0.0,0.0,0.0,0.0,3
